id,character,meaning,stroke_count,position,frequency,example_kanji,kanji_references,variant_forms
r001,⼀,"one, horizontal stroke",1,any,common,,,
r002,⼁,vertical stroke,1,any,common,,,
r003,⼂,dot,1,any,common,,,
r004,⼃,diagonal sweeping stroke,1,any,common,,,
r005,,diagonal sweeping stroke,1,top,common,,,
r006,⼄,the second,1,any,common,,,
r007,⺃,the second,1,any,common,,,
r008,⼅,vertical stroke with a hook,1,any,common,,,
r009,⼆,two,2,any,common,,,
r010,⼇,"lid, top",2,top,common,,,
r011,⼈,person,2,any,common,,,
r012,⺅,person,2,left,common,,,
r013,𠆢,person,2,top,common,,,
r014,⼉,human legs,2,bottom,common,,,
r015,⼊,to enter,2,any,common,,,
r016,⼋,eight,2,any,common,,,
r017,,eight,2,any,common,,,
r018,⼌,to enclose,2,enclosure,common,,,
r019,⼍,"cover, crown",2,top,common,,,
r020,⼎,ice,2,left,common,,,
r021,⼏,table,2,right,common,,,
r022,⺇,wind,2,top,common,,,
r023,⼐,"container, open box",2,bottom-left,common,,,
r024,⼑,"knife, sword",2,any,common,,,
r025,⺉,"knife, sword",2,right,common,,,
r026,⼒,power,2,any,common,,,
r027,⼓,to wrap,2,enclosure,common,,,
r028,⼔,spoon,2,right,common,,,
r029,⼕,box,2,enclosure,common,,,
r030,⼖,"to conceal, hide",2,enclosure,common,,,
r031,⼗,ten,2,any,common,,,
r032,⼘,oracle,2,any,common,,,
r033,⼙,"stamp, seal",2,right,common,,,
r034,⼚,cliff,2,top-left,common,,,
r035,⼛,"private, Katakana Mu",2,any,common,,,
r036,⼜,"again, right hand",2,any,common,,,
r037,⼝,mouth,3,any,common,,,
r038,,mouth,3,left,common,,,
r039,⼞,"border, territorial boundaries",3,enclosure,common,,,
r040,⼟,earth,3,any,common,,,
r041,,earth,3,left,common,,,
r042,⼠,"man, scholar, samurai",3,any,common,,,
r043,,"man, scholar, samurai",3,top,common,,,
r044,⼡,to follow,3,any,common,,,
r045,⼢,to go slowly,3,bottom,common,,,
r046,⼣,evening,3,any,common,,,
r047,⼤,"large, big",3,any,common,,,
r048,⼥,woman,3,any,common,,,
r049,,woman,3,left,common,,,
r050,⼦,"child, son",3,any,common,,,
r051,,"child, son",3,left,common,,,
r052,⼧,"roof, house",3,top,common,,,
