id,japanese,hiragana,kanji_references,romaji,english,category,jlpt_level,example_japanese,example_english,notes,part_of_speech,part_of_speech_references,frequency,pitch_accent
voc1001,耳,みみ,k0247,mimi,ear,body,N3,耳が痛い。,My ear hurts.,,noun,,very high,LH
voc1002,耳鳴り,みみなり,k0247,miminari,ringing in the ears,health,N3,最近耳鳴りがひどい。,I've had bad ringing in my ears lately.,,noun,,medium,LHHL
voc1003,耳元,みみもと,k0247,mimimoto,near one's ear,body,N3,彼は耳元でささやいた。,He whispered in my ear.,,noun,,low,LHHL
voc1004,国民,こくみん,k0248,kokumin,citizen; national,society,N3,国民の意見を聞く必要がある。,We need to listen to the opinions of the citizens.,,noun,,very high,LLLH
voc1005,民族,みんぞく,k0248,minzoku,ethnic group; people,society,N3,この地域には様々な民族が住んでいる。,Various ethnic groups live in this region.,,noun,,high,LHHH
voc1006,民主,みんしゅ,k0248,minshu,democracy,society,N3,民主主義は重要な政治体制だ。,Democracy is an important political system.,,noun,,high,LHH
voc1007,合う,あう,k0249,au,to fit; to match,action,N3,この服は私に合う。,This clothes fits me.,,verb,,very high,LH
voc1008,合計,ごうけい,k0249,gokei,total; sum,abstract,N3,合計いくらですか？,How much is the total?,,noun,,very high,LHHL
voc1009,場合,ばあい,k0249,baai,case; situation,abstract,N3,その場合はどうすればいいですか？,What should I do in that case?,,noun,,very high,LHL
voc1010,市場,いちば,k0250,ichiba,market; marketplace,place,N3,毎朝市場で野菜を買う。,I buy vegetables at the market every morning.,,noun,,very high,LHL
voc1011,市民,しみん,k0250,shimin,citizen,society,N3,市民の声を大切にしよう。,Let's value the voices of the citizens.,,noun,,high,LHL
voc1012,都市,とし,k0250,toshi,city; urban area,place,N3,大きな都市に住みたい。,I want to live in a big city.,,noun,,very high,LH
voc1013,回る,まわる,k0251,mawaru,to turn; to go around,action,N3,地球は太陽の周りを回っている。,The Earth revolves around the Sun.,,verb,,very high,LHL
voc1014,回数,かいすう,k0251,kaisuu,number of times,abstract,N3,この薬は一日三回飲んでください。,Please take this medicine three times a day.,,noun,,high,LHHL
voc1015,今回,こんかい,k0251,konkai,this time,time,N3,今回の旅行はとても楽しかった。,This trip was very enjoyable.,,noun,,very high,LHL
voc1016,首,くび,k0252,kubi,neck; head,body,N3,首が痛くて動けない。,My neck hurts and I can't move.,,noun,,very high,LH
voc1017,首都,しゅと,k0252,shuto,capital city,place,N3,東京は日本の首都だ。,Tokyo is the capital of Japan.,,noun,,very high,LH
voc1018,首相,しゅしょう,k0252,shusho,prime minister,society,N3,新しい首相が選ばれた。,A new prime minister was elected.,,noun,,very high,LHL
voc1019,都合,つごう,k0253,tsugo,convenience; circumstances,abstract,N3,都合がいい日はいつですか？,When is a convenient day for you?,,noun,,very high,LHL
voc1020,都会,とかい,k0253,tokai,city; urban area,place,N3,都会の生活は忙しい。,Life in the city is busy.,,noun,,high,LHL
voc1021,京都,きょうと,k0253,kyoto,Kyoto,place,N3,京都には古い寺がたくさんある。,There are many old temples in Kyoto.,,noun,,very high,LHL
voc1022,進む,すすむ,k0254,susumu,to advance; to progress,action,N3,仕事がうまく進んでいる。,Work is progressing well.,,verb,,very high,LHL
voc1023,進歩,しんぽ,k0254,shinpo,progress; advance,abstract,N3,科学は大きく進歩した。,Science has advanced greatly.,,noun,,high,LHL
voc1024,進学,しんがく,k0254,shingaku,going on to higher education,education,N3,大学に進学するつもりだ。,I intend to go on to university.,,noun,,high,LHHL
voc1025,生産,せいさん,k0255,seisan,production,abstract,N3,この工場では車を生産している。,This factory produces cars.,,noun,,high,LHL
voc1026,産業,さんぎょう,k0255,sangyo,industry,society,N3,農業は重要な産業だ。,Agriculture is an important industry.,,noun,,high,LHHL
voc1027,出産,しゅっさん,k0255,shussan,childbirth,health,N3,妻が出産した。,My wife gave birth.,,noun,,high,LHHL
voc1028,引く,ひく,k0256,hiku,to pull; to draw,action,N3,ドアを引いて開けてください。,Please pull the door to open it.,,verb,,very high,LH
voc1029,引っ越し,ひっこし,k0256,hikkoshi,moving (house),action,N3,来月引っ越しをする予定だ。,I'm planning to move next month.,,noun,,high,LHHL
voc1030,引き受ける,ひきうける,k0256,hikiukeru,to take on; to accept,action,N3,その仕事を引き受けることにした。,I decided to take on that job.,,verb,,high,LHHLHL
voc1031,所,ところ,k0257,tokoro,place; spot,place,N3,あの所に何がありますか？,What is in that place?,,noun,,very high,LHL
voc1032,住所,じゅうしょ,k0257,jusho,address,abstract,N3,住所を教えてください。,Please tell me your address.,,noun,,very high,LHL
voc1033,台所,だいどころ,k0257,daidokoro,kitchen,place,N3,台所で料理を作っている。,I'm cooking in the kitchen.,,noun,,very high,LHHL
voc1034,説明,せつめい,k0258,setsumei,explanation,abstract,N3,もう一度説明してください。,Please explain it one more time.,,noun,,very high,LHHL
voc1035,小説,しょうせつ,k0258,shosetsu,novel; fiction,art,N3,その小説はとても面白かった。,That novel was very interesting.,,noun,,very high,LHHL
voc1036,意見,いけん,k0258,iken,opinion,abstract,N3,あなたの意見を聞かせてください。,Please let me hear your opinion.,also related to k0291,noun,,very high,LHL
voc1037,乗る,のる,k0259,noru,to ride; to get on,action,N3,電車に乗って会社に行く。,I take the train to work.,,verb,,very high,LH
voc1038,乗り物,のりもの,k0259,norimono,vehicle; transport,object,N3,どんな乗り物が好きですか？,What kind of vehicle do you like?,,noun,,high,LHHL
voc1039,乗客,じょうきゃく,k0259,jokyaku,passenger,people,N3,電車の乗客が多い。,There are many passengers on the train.,,noun,,medium,LHHL
voc1040,声,こえ,k0260,koe,voice,sense,N3,大きな声で話してください。,Please speak in a loud voice.,,noun,,very high,LH
voc1041,声援,せいえん,k0260,seien,cheering; support,abstract,N3,観客の声援が選手を励ました。,The cheers of the audience encouraged the athlete.,,noun,,medium,LHL
voc1042,歌声,うたごえ,k0260,utagoe,singing voice,art,N3,彼女の歌声はとても美しい。,Her singing voice is very beautiful.,,noun,,medium,LHHL
voc1043,働く,はたらく,k0261,hataraku,to work,action,N3,毎日一生懸命働いている。,I work hard every day.,,verb,,very high,LHHL
voc1044,働き者,はたらきもの,k0261,hatarakimono,hard worker,people,N3,彼はとても働き者だ。,He is a very hard worker.,,noun,,medium,LHHLH
voc1045,好き,すき,k0262,suki,like; fondness,feeling,N3,音楽が好きです。,I like music.,,adjective,,very high,LH
voc1046,好む,このむ,k0262,konomu,to prefer; to like,action,N3,彼は静かな場所を好む。,He prefers quiet places.,,verb,,high,LHL
voc1047,好奇心,こうきしん,k0262,kokishin,curiosity,feeling,N3,子供は好奇心が旺盛だ。,Children are full of curiosity.,,noun,,medium,LHHHL
voc1048,頭,あたま,k0263,atama,head,body,N3,頭が痛い。,I have a headache.,,noun,,very high,LHL
voc1049,頭痛,ずつう,k0263,zutsuu,headache,health,N3,頭痛で学校を休んだ。,I stayed home from school with a headache.,,noun,,high,LHL
voc1050,頭脳,ずのう,k0263,zuno,brain; intellect,abstract,N3,彼は優れた頭脳の持ち主だ。,He is a person of superior intellect.,,noun,,medium,LHL
